step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,5,8.0
20.0,-0.08,8,44.0
25.0,-0.36,9,86.0
30.0,-0.42,10,132.0
35.0,-0.4600000000000001,10,182.0
40.0,-0.5,6,182.0
45.0,0.1200000000000001,6,180.0
50.0,-0.24,8,213.0
55.0,-0.5699999999999998,10,261.0
60.0,-0.5,10,311.0
65.0,-0.5,4,161.0
70.0,1.3499999999999999,6,135.0
75.0,0.25,6,152.0
80.0,-0.29000000000000004,6,182.0
85.0,-0.30000000000000004,6,212.0
90.0,-0.30000000000000004,9,177.0
95.0,0.22999999999999998,10,219.0
100.0,-0.41999999999999993,9,257.0
105.0,-0.54,9,300.0
110.0,-0.4500000000000002,9,333.0
115.0,-0.45999999999999996,9,373.0
120.0,-0.48999999999999977,10,423.0
125.0,-0.48999999999999977,12,464.0
130.0,-0.6299999999999999,12,524.0
135.0,-0.6000000000000005,12,584.0
140.0,-0.8499999999999996,14,648.0
145.0,-0.6900000000000004,14,718.0
150.0,-0.6900000000000004,12,764.0
155.0,-0.7399999999999993,12,824.0
160.0,-0.6000000000000005,19,905.0
165.0,-1.1999999999999993,20,1004.0
170.0,-1.0,22,1108.0
175.0,-1.08,20,1188.0
180.0,-0.9400000000000013,18,1264.0
185.0,-0.9499999999999993,20,1361.0
190.0,-1.0,20,1461.0
195.0,-1.0,22,1547.0
200.0,-1.2799999999999994,23,1659.0
205.0,-1.1399999999999988,22,1767.0
210.0,-1.5,23,1879.0
215.0,-1.1500000000000021,23,1994.0
220.0,-1.1699999999999982,25,2115.0
225.0,-1.25,27,2242.0
230.0,-1.25,28,2343.0
235.0,-1.5300000000000011,30,2493.0
240.0,-1.5,28,2623.0
245.0,-1.8599999999999994,30,2767.0
250.0,-1.4800000000000004,29,2904.0
255.0,-1.9400000000000013,30,3051.0
260.0,-1.5,30,3201.0
265.0,-1.6899999999999977,36,3376.0
270.0,-1.6899999999999977,32,3499.0
275.0,-1.9100000000000037,32,3659.0
280.0,-1.5999999999999943,34,3826.0
285.0,-1.6900000000000048,34,3996.0
290.0,-1.6999999999999957,32,4139.0
295.0,-2.0700000000000003,34,4305.0
300.0,-1.7800000000000011,39,4492.0
305.0,-1.7800000000000011,40,4671.0
310.0,-2.5600000000000023,40,4871.0
315.0,-2.0,41,5073.0
320.0,-2.019999999999996,42,5283.0
325.0,-2.1000000000000014,44,5496.0
330.0,-2.1300000000000026,44,5716.0
335.0,-2.1999999999999957,49,5953.0
340.0,-2.3700000000000045,50,6203.0
345.0,-2.5,50,6453.0
350.0,-2.5,46,6607.0
355.0,-1.7199999999999989,43,6703.0
360.0,-1.3499999999999943,44,6881.0
365.0,-3.0200000000000102,46,7108.0
370.0,-2.3999999999999915,50,7352.0
375.0,-2.5799999999999983,54,7614.0
380.0,-2.700000000000003,54,7884.0
385.0,-2.700000000000003,49,8068.0
390.0,-2.6700000000000017,50,8276.0
395.0,-2.2900000000000063,48,8504.0
400.0,-3.2299999999999898,52,8751.0
405.0,-2.5799999999999983,52,9011.0
410.0,-2.5799999999999983,50,9246.0
415.0,-3.3900000000000006,51,9497.0
420.0,-2.510000000000005,52,9755.0
425.0,-2.5799999999999983,47,9334.0
430.0,10.030000000000001,38,8266.0
435.0,10.200000000000003,29,7787.0
440.0,-1.460000000000008,24,7901.0
445.0,-1.1799999999999926,28,8024.0
450.0,-1.6300000000000097,36,8195.0
455.0,-2.019999999999996,46,8407.0
460.0,-2.4200000000000017,50,8653.0
465.0,-2.5,50,8903.0
470.0,-2.510000000000005,51,9155.0
475.0,-2.6499999999999915,56,9425.0
480.0,-2.8100000000000023,58,9708.0
485.0,-2.8100000000000023,50,9810.0
490.0,-2.0799999999999983,50,9970.0
495.0,-1.6200000000000045,48,10193.0
500.0,-3.219999999999999,50,10442.0
505.0,-2.5,50,10692.0
510.0,-2.5,52,10922.0
515.0,-3.299999999999997,53,11183.0
520.0,-2.6099999999999994,53,11431.0
525.0,-3.530000000000001,53,11695.0
530.0,-2.6500000000000057,54,11962.0
535.0,-2.7099999999999937,53,11495.0
540.0,11.209999999999994,44,10995.0
545.0,11.200000000000003,41,9268.0
550.0,11.200000000000003,33,9430.0
555.0,3.680000000000007,31,9586.0
560.0,-1.5600000000000023,37,9761.0
565.0,-1.8100000000000023,46,9972.0
570.0,-2.2099999999999937,53,10227.0
575.0,-2.5900000000000034,53,10492.0
580.0,-2.6500000000000057,52,10650.0
585.0,-1.6599999999999966,48,10742.0
590.0,-1.4099999999999966,53,10940.0
595.0,-1.4099999999999966,54,11177.0
600.0,-3.25,54,11447.0
605.0,-2.700000000000003,50,11680.0
610.0,-3.1400000000000006,50,11906.0
615.0,-2.469999999999999,50,12156.0
620.0,-3.519999999999996,54,12414.0
625.0,-2.700000000000003,54,12684.0
630.0,-2.739999999999995,56,12960.0
635.0,-2.8000000000000114,56,13240.0
640.0,-2.829999999999984,58,13525.0
645.0,-2.9000000000000057,58,13815.0
650.0,-2.9099999999999966,59,14107.0
655.0,-3.0700000000000216,62,14417.0
660.0,-3.0700000000000216,58,14619.0
665.0,-3.219999999999999,60,14894.0
670.0,-2.769999999999982,58,15181.0
675.0,-4.02000000000001,60,15475.0
680.0,-2.990000000000009,60,15775.0
685.0,-2.990000000000009,59,16054.0
690.0,-3.9899999999999807,60,16354.0
