step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,2,3.0
20.0,-0.03,6,29.0
25.0,-0.38,5,40.0
30.0,-0.25000000000000006,7,73.0
35.0,-0.36,9,111.0
40.0,-0.45999999999999996,11,159.0
45.0,-0.5699999999999998,13,218.0
50.0,-0.6700000000000004,17,289.0
55.0,-0.9499999999999997,21,388.0
60.0,-1.0499999999999998,21,493.0
65.0,-1.0499999999999998,18,523.0
70.0,-0.4500000000000002,20,592.0
75.0,-1.38,24,701.0
80.0,-1.38,15,610.0
85.0,0.4500000000000002,17,681.0
90.0,-1.1300000000000008,24,741.0
95.0,-0.6999999999999993,23,792.0
100.0,-0.8800000000000008,24,905.0
105.0,-0.8800000000000008,18,905.0
110.0,0.4299999999999997,12,781.0
115.0,0.45000000000000107,12,827.0
120.0,-0.8000000000000007,20,911.0
125.0,-0.8000000000000007,18,941.0
130.0,-0.6799999999999997,18,1015.0
135.0,-0.7400000000000002,17,1081.0
140.0,-1.0099999999999998,17,1162.0
145.0,-1.0700000000000003,17,1240.0
150.0,-0.8699999999999992,18,1328.0
155.0,-0.9399999999999995,22,1426.0
160.0,-0.9399999999999995,23,1513.0
165.0,-1.33,22,1621.0
170.0,-1.5000000000000018,24,1734.0
175.0,-1.5000000000000018,22,1841.0
180.0,-1.5399999999999991,23,1953.0
185.0,-1.120000000000001,24,2073.0
190.0,-1.1999999999999993,27,2196.0
195.0,-1.2300000000000004,30,2343.0
200.0,-1.4699999999999989,32,2496.0
205.0,-1.5300000000000011,32,2656.0
210.0,-1.5999999999999979,34,2820.0
215.0,-1.6400000000000006,32,2875.0
220.0,-1.1999999999999993,34,3040.0
225.0,-2.3900000000000006,38,3217.0
230.0,-2.3900000000000006,42,3413.0
235.0,-2.759999999999998,42,3623.0
240.0,-2.1000000000000014,44,3837.0
245.0,-2.1799999999999997,46,4067.0
250.0,-2.3000000000000043,44,4159.0
255.0,-0.4799999999999969,36,4234.0
260.0,-0.4799999999999969,30,3428.0
265.0,7.329999999999998,35,3591.0
270.0,-2.3299999999999983,36,3766.0
275.0,-1.75,38,3948.0
280.0,-1.8999999999999986,48,4016.0
285.0,-0.4200000000000017,44,4112.0
290.0,-0.4200000000000017,35,3383.0
295.0,6.509999999999998,32,2767.0
300.0,6.170000000000002,33,2638.0
305.0,1.870000000000001,27,2667.0
310.0,1.870000000000001,37,2817.0
315.0,-2.0400000000000027,44,2930.0
320.0,-1.1899999999999977,45,3013.0
325.0,-1.2600000000000016,45,3178.0
330.0,-2.0599999999999987,45,3211.0
335.0,0.6300000000000026,39,3244.0
340.0,0.6300000000000026,35,3425.0
345.0,-2.5400000000000063,38,3600.0
350.0,-1.7999999999999972,44,3807.0
355.0,-2.1300000000000026,51,4049.0
360.0,-2.479999999999997,53,4309.0
365.0,-2.6199999999999974,53,4574.0
370.0,-2.6500000000000057,59,4855.0
375.0,-2.8699999999999974,60,5151.0
380.0,-2.979999999999997,63,5461.0
385.0,-3.1200000000000045,63,5776.0
390.0,-3.1699999999999946,61,5842.0
395.0,0.6199999999999974,51,5883.0
400.0,0.6199999999999974,41,5109.0
405.0,6.699999999999996,34,4441.0
410.0,6.680000000000007,29,4393.0
415.0,-0.09000000000000341,32,4294.0
420.0,2.6899999999999977,34,4215.0
425.0,2.6899999999999977,36,4392.0
430.0,-2.509999999999998,40,4367.0
435.0,1.7800000000000011,32,4316.0
440.0,1.7800000000000011,35,4472.0
445.0,-2.1799999999999997,41,4666.0
450.0,-1.9399999999999977,45,4663.0
455.0,1.269999999999996,42,4667.0
460.0,-2.979999999999997,43,4880.0
465.0,-2.979999999999997,39,4712.0
470.0,0.8900000000000006,36,4889.0
475.0,-2.5600000000000023,43,5088.0
480.0,-2.270000000000003,52,5334.0
485.0,-2.6499999999999986,59,5612.0
490.0,-2.969999999999999,65,5920.0
495.0,-3.3100000000000023,70,6263.0
500.0,-3.3100000000000023,62,6194.0
505.0,-0.6999999999999957,55,6479.0
510.0,-3.969999999999999,53,6564.0
515.0,0.01999999999999602,44,6633.0
520.0,0.01999999999999602,45,6856.0
525.0,-3.1400000000000006,47,6798.0
530.0,1.1500000000000057,54,6893.0
535.0,1.1500000000000057,53,6834.0
540.0,-0.46000000000000796,47,6486.0
545.0,8.490000000000002,41,6067.0
550.0,-2.3299999999999983,38,6256.0
555.0,-1.970000000000006,42,6457.0
560.0,-2.1999999999999886,51,6686.0
565.0,-2.8100000000000023,64,6980.0
570.0,-2.8100000000000023,67,6989.0
575.0,-1.3900000000000006,59,7219.0
580.0,-2.6200000000000045,53,7421.0
585.0,-2.6200000000000045,58,7703.0
590.0,-3.8599999999999994,60,7826.0
595.0,-0.8299999999999983,57,7339.0
600.0,8.530000000000001,50,6689.0
605.0,8.79,42,5582.0
610.0,12.82,36,4808.0
615.0,6.479999999999997,39,3780.0
620.0,8.260000000000005,47,3068.0
625.0,3.9499999999999957,52,2744.0
630.0,2.5500000000000007,52,2667.0
635.0,2.5500000000000007,50,2507.0
640.0,0.9299999999999997,41,2716.0
645.0,-2.8000000000000007,37,2910.0
650.0,-1.889999999999997,37,3097.0
655.0,-1.8399999999999999,40,3287.0
660.0,-1.8399999999999999,41,3046.0
665.0,1.6199999999999974,42,2840.0
670.0,2.0600000000000023,34,2820.0
675.0,1.5,23,2593.0
