step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,0.0,0,0.0
35.0,0.0,0,0.0
40.0,0.0,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,0,0.0
60.0,0.0,0,0.0
65.0,0.0,0,0.0
70.0,0.0,0,0.0
75.0,-0.04,2,6.0
80.0,-0.1,3,17.0
85.0,-0.1,3,32.0
90.0,-0.26999999999999996,3,47.0
95.0,-0.26999999999999996,2,24.0
100.0,0.12999999999999995,2,34.0
105.0,0.12999999999999995,2,44.0
110.0,-0.18,4,57.0
115.0,-0.18,6,81.0
120.0,-0.35000000000000003,7,116.0
125.0,-0.34999999999999987,8,156.0
130.0,-0.72,8,196.0
135.0,-0.72,9,241.0
140.0,-0.8000000000000003,10,287.0
145.0,-0.8000000000000003,6,295.0
150.0,-0.3899999999999997,10,331.0
155.0,-0.3899999999999997,11,385.0
160.0,-0.9000000000000004,12,445.0
165.0,-0.9000000000000004,16,519.0
170.0,-1.2200000000000002,15,602.0
175.0,-0.8599999999999994,15,620.0
180.0,-0.8599999999999994,19,706.0
185.0,-1.63,23,813.0
190.0,-1.63,24,919.0
195.0,-1.9900000000000002,24,1039.0
200.0,-1.9900000000000002,21,1034.0
205.0,-0.8800000000000008,24,1147.0
210.0,-0.8800000000000008,28,1283.0
215.0,-2.2799999999999994,29,1429.0
220.0,-2.619999999999999,31,1576.0
225.0,-2.619999999999999,27,1632.0
230.0,-1.629999999999999,29,1763.0
235.0,-1.629999999999999,40,1940.0
240.0,-3.150000000000002,44,2151.0
245.0,-3.150000000000002,51,2401.0
250.0,-4.300000000000001,56,2667.0
255.0,-4.300000000000001,34,2714.0
260.0,-2.6099999999999994,46,2917.0
265.0,-3.9399999999999977,56,3164.0
270.0,-3.9399999999999977,55,3264.0
275.0,-2.980000000000004,44,3492.0
280.0,-2.980000000000004,60,3717.0
285.0,-4.349999999999994,73,4052.0
290.0,-4.349999999999994,59,4166.0
295.0,-3.770000000000003,58,4433.0
300.0,-3.770000000000003,77,4772.0
305.0,-5.539999999999999,83,5190.0
310.0,-4.6200000000000045,62,5296.0
315.0,-4.6200000000000045,72,5622.0
320.0,-6.229999999999997,91,6034.0
325.0,-6.229999999999997,98,6445.0
330.0,-7.8899999999999935,106,6959.0
335.0,-7.8899999999999935,90,7166.0
340.0,-6.050000000000011,72,7086.0
345.0,0.9699999999999989,77,7438.0
350.0,0.9699999999999989,98,7882.0
355.0,-7.279999999999987,115,8430.0
360.0,-9.13000000000001,122,8917.0
365.0,-9.13000000000001,118,9234.0
370.0,-7.599999999999994,92,9490.0
375.0,0.09000000000000341,90,9724.0
380.0,0.09000000000000341,107,10204.0
385.0,-8.800000000000011,126,10792.0
390.0,-8.800000000000011,115,11147.0
395.0,-8.309999999999988,99,11252.0
400.0,-0.9200000000000017,102,11744.0
405.0,-0.9200000000000017,123,12319.0
410.0,-9.700000000000003,138,12991.0
415.0,-9.77000000000001,125,13255.0
420.0,-3.1699999999999875,112,13725.0
425.0,-3.1699999999999875,126,14295.0
430.0,-10.830000000000013,147,14985.0
435.0,-10.830000000000013,157,15528.0
440.0,-11.45999999999998,162,16321.0
445.0,-11.45999999999998,147,16884.0
450.0,-11.870000000000005,136,17278.0
455.0,-3.5600000000000023,137,17740.0
460.0,-4.280000000000001,146,18377.0
465.0,-4.280000000000001,160,19137.0
470.0,-13.240000000000009,170,19981.0
475.0,-13.620000000000005,175,20674.0
480.0,-13.620000000000005,180,21388.0
485.0,-14.030000000000001,169,22236.0
490.0,-14.030000000000001,186,23081.0
495.0,-15.629999999999995,206,24049.0
500.0,-10.039999999999992,229,25144.0
505.0,-11.379999999999995,237,26315.0
510.0,-11.920000000000016,245,27530.0
515.0,-12.240000000000009,256,28779.0
520.0,-12.71999999999997,264,30083.0
525.0,-12.71999999999997,255,30981.0
530.0,-19.370000000000005,242,31591.0
535.0,-5.490000000000009,227,32350.0
540.0,-6.319999999999993,215,32911.0
545.0,-6.78000000000003,216,33566.0
550.0,-5.849999999999966,224,34533.0
555.0,-5.849999999999966,243,35662.0
560.0,-19.860000000000014,267,36910.0
565.0,-12.480000000000018,282,38248.0
570.0,-22.599999999999966,271,39237.0
575.0,-9.319999999999993,253,40352.0
580.0,-9.569999999999993,248,41295.0
585.0,-10.460000000000036,250,42311.0
590.0,-11.050000000000011,254,43435.0
595.0,-11.050000000000011,272,44731.0
600.0,-23.599999999999966,289,46143.0
605.0,-14.680000000000007,305,47647.0
610.0,-15.430000000000007,322,49222.0
615.0,-16.149999999999977,327,50850.0
620.0,-16.149999999999977,332,52074.0
625.0,-25.430000000000007,334,53734.0
630.0,-25.430000000000007,344,55425.0
635.0,-30.350000000000023,365,57215.0
640.0,-30.350000000000023,345,58686.0
645.0,-29.120000000000005,328,59834.0
650.0,-11.480000000000018,317,60969.0
655.0,-11.350000000000023,324,62158.0
660.0,-11.889999999999986,334,63482.0
665.0,-13.240000000000009,348,65178.0
670.0,-31.370000000000005,376,66995.0
675.0,-19.269999999999982,396,68942.0
680.0,-19.980000000000018,403,70947.0
685.0,-20.269999999999982,410,72981.0
690.0,-20.269999999999982,405,71633.0
695.0,-2.4599999999999227,388,73594.0
700.0,-2.4599999999999227,374,75221.0
