step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,0,0.0
25.0,0.0,0,0.0
30.0,-0.02,0,0.0
35.0,0.02,0,0.0
40.0,0.02,0,0.0
45.0,0.0,0,0.0
50.0,0.0,0,0.0
55.0,0.0,1,2.0
60.0,-0.02,2,2.0
65.0,-0.039999999999999994,1,3.0
70.0,-0.07,4,19.0
75.0,-0.07,0,2.0
80.0,0.13,3,14.0
85.0,-0.21,4,30.0
90.0,-0.21,1,3.0
95.0,0.19999999999999998,2,14.0
100.0,-0.19,3,14.0
105.0,0.06,5,30.0
110.0,0.06,5,44.0
115.0,-0.16999999999999998,5,48.0
120.0,0.24,6,60.0
125.0,0.24,8,80.0
130.0,-0.009999999999999995,12,132.0
135.0,-0.21999999999999997,7,147.0
140.0,0.16999999999999998,11,193.0
145.0,-0.25,11,246.0
150.0,-0.32999999999999996,15,318.0
155.0,-0.32999999999999996,0,96.0
160.0,0.27999999999999997,5,65.0
165.0,-0.32,6,95.0
170.0,-0.32,1,47.0
175.0,0.36,5,56.0
180.0,-0.25,5,48.0
185.0,0.13,3,60.0
190.0,0.13,7,82.0
195.0,-0.31999999999999995,5,68.0
200.0,0.38999999999999996,7,72.0
205.0,0.38999999999999996,13,130.0
210.0,-0.24999999999999994,13,159.0
215.0,0.1399999999999999,17,229.0
220.0,-0.36,24,337.0
225.0,-0.36,15,372.0
230.0,0.25,18,451.0
235.0,-0.2799999999999999,23,558.0
240.0,-0.2799999999999999,17,589.0
245.0,0.2899999999999999,7,312.0
250.0,-0.26,8,146.0
255.0,0.07000000000000006,4,102.0
260.0,0.07000000000000006,6,114.0
265.0,-0.2500000000000001,5,96.0
270.0,0.32000000000000006,0,84.0
275.0,0.32000000000000006,5,95.0
280.0,-0.12,13,147.0
285.0,-0.4800000000000001,9,136.0
290.0,0.17000000000000015,9,164.0
295.0,-0.3600000000000001,15,226.0
300.0,-0.5699999999999998,21,318.0
305.0,-0.5699999999999998,14,320.0
310.0,0.18999999999999995,18,386.0
315.0,-0.18999999999999995,23,488.0
320.0,-0.73,29,618.0
325.0,-0.73,17,636.0
330.0,0.10000000000000009,20,725.0
335.0,-0.3900000000000001,11,370.0
340.0,1.0,6,235.0
345.0,1.0,5,245.0
350.0,-0.22999999999999998,6,195.0
355.0,0.41999999999999993,5,216.0
360.0,0.41999999999999993,9,237.0
365.0,-0.3500000000000001,9,208.0
370.0,0.16999999999999993,5,139.0
375.0,0.8800000000000001,8,166.0
380.0,-0.1499999999999999,16,193.0
385.0,-0.4500000000000002,21,276.0
390.0,-0.4500000000000002,18,303.0
395.0,0.24,15,342.0
400.0,-0.22999999999999998,23,436.0
405.0,-0.22999999999999998,16,473.0
410.0,0.030000000000000027,16,529.0
415.0,0.050000000000000044,19,616.0
420.0,-0.3999999999999999,24,708.0
425.0,0.0,7,373.0
430.0,0.0,7,268.0
435.0,-0.45999999999999996,8,241.0
440.0,0.16999999999999993,6,273.0
445.0,0.16999999999999993,8,301.0
450.0,-0.43999999999999995,9,266.0
455.0,0.3799999999999999,6,273.0
460.0,-0.3900000000000001,13,318.0
465.0,-0.3900000000000001,12,301.0
470.0,0.18999999999999995,16,347.0
475.0,-0.3799999999999999,20,429.0
480.0,-0.3799999999999999,16,428.0
485.0,0.3200000000000003,20,521.0
490.0,-0.38000000000000034,26,626.0
495.0,-0.77,28,670.0
500.0,0.040000000000000036,22,784.0
505.0,0.040000000000000036,24,888.0
510.0,-0.6000000000000001,23,906.0
515.0,0.7000000000000002,6,588.0
520.0,0.7000000000000002,8,425.0
525.0,-0.3600000000000003,13,479.0
530.0,-0.54,14,443.0
535.0,0.13000000000000078,10,489.0
540.0,-0.7400000000000002,13,547.0
545.0,-0.7400000000000002,9,447.0
550.0,0.8300000000000001,7,478.0
555.0,-0.45999999999999996,15,534.0
560.0,-0.45999999999999996,14,471.0
565.0,0.5599999999999996,15,510.0
570.0,0.009999999999999787,20,600.0
575.0,-0.46999999999999975,23,667.0
580.0,-0.17999999999999972,25,751.0
585.0,-0.4800000000000004,34,890.0
590.0,-1.0299999999999994,41,1078.0
595.0,-1.2600000000000007,42,1284.0
600.0,-1.3500000000000005,40,1430.0
605.0,0.1800000000000015,16,1093.0
610.0,0.1800000000000015,17,1003.0
615.0,-1.0899999999999999,14,941.0
620.0,0.46999999999999886,9,992.0
625.0,-0.07000000000000028,10,997.0
630.0,-0.5,13,1048.0
635.0,-0.34999999999999964,16,1088.0
640.0,-0.7799999999999994,22,1076.0
645.0,0.4399999999999995,24,1162.0
650.0,-0.6099999999999994,29,1243.0
655.0,-1.0600000000000005,30,1357.0
660.0,-0.8599999999999994,34,1519.0
665.0,0.3099999999999987,31,1541.0
670.0,0.3099999999999987,30,1526.0
675.0,0.33999999999999986,33,1616.0
680.0,-0.2599999999999998,44,1814.0
685.0,-1.299999999999999,32,1824.0
690.0,0.3899999999999988,28,1921.0
695.0,-0.33999999999999986,18,1523.0
700.0,-0.8199999999999985,26,1543.0
705.0,-1.1900000000000013,27,1655.0
710.0,-1.3399999999999999,30,1799.0
715.0,-1.3399999999999999,20,1672.0
720.0,0.75,23,1771.0
725.0,-1.4499999999999993,28,1890.0
730.0,-1.4499999999999993,21,1777.0
735.0,0.6600000000000001,23,1839.0
740.0,-0.46000000000000085,24,1790.0
