traffic_light,step_time,reward,lanes_queue,waiting_time_per_lane
t,5.0,,"[0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0]"
t,10.0,0.0,"[0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0]"
t,15.0,0.0,"[0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0]"
t,20.0,0.0,"[0, 0, 1, 2]","[0.0, 0.0, 4.0, 4.0]"
t,25.0,-0.08,"[0, 0, 3, 5]","[0.0, 0.0, 15.0, 23.0]"
t,30.0,-0.3,"[0, 0, 6, 6]","[0.0, 0.0, 39.0, 50.0]"
t,35.0,-0.51,"[0, 0, 8, 7]","[0.0, 0.0, 74.0, 83.0]"
t,40.0,-0.68,"[0, 0, 10, 9]","[0.0, 0.0, 119.0, 125.0]"
t,45.0,-0.8699999999999999,"[0, 0, 12, 11]","[0.0, 0.0, 174.0, 179.0]"
t,50.0,-1.0899999999999999,"[0, 0, 13, 13]","[0.0, 0.0, 235.0, 239.0]"
t,55.0,-1.2100000000000004,"[0, 0, 14, 15]","[0.0, 0.0, 303.0, 309.0]"
t,60.0,-1.38,"[0, 0, 17, 17]","[0.0, 0.0, 384.0, 389.0]"
t,65.0,-1.6100000000000003,"[0, 0, 19, 19]","[0.0, 0.0, 478.0, 481.0]"
t,70.0,-1.8599999999999994,"[0, 0, 19, 19]","[0.0, 0.0, 573.0, 576.0]"
t,75.0,-1.9000000000000004,"[0, 0, 16, 16]","[0.0, 0.0, 606.0, 610.0]"
t,80.0,-0.1899999999999995,"[1, 0, 11, 11]","[3.0, 0.0, 568.0, 567.0]"
t,85.0,1.4000000000000004,"[0, 0, 7, 7]","[0.0, 0.0, 513.0, 506.0]"
t,90.0,-0.3600000000000012,"[0, 0, 5, 5]","[0.0, 0.0, 541.0, 533.0]"
t,95.0,-0.4299999999999997,"[0, 0, 5, 4]","[0.0, 0.0, 563.0, 553.0]"
t,100.0,-0.6099999999999994,"[0, 0, 8, 8]","[0.0, 0.0, 597.0, 587.0]"
t,105.0,-0.9299999999999997,"[0, 0, 11, 11]","[0.0, 0.0, 646.0, 637.0]"
t,110.0,-1.2300000000000004,"[0, 0, 14, 14]","[0.0, 0.0, 711.0, 701.0]"
t,115.0,-1.5099999999999998,"[0, 0, 16, 16]","[0.0, 0.0, 790.0, 777.0]"
t,120.0,-1.6399999999999988,"[0, 0, 17, 16]","[0.0, 0.0, 875.0, 857.0]"
t,125.0,-1.6399999999999988,"[0, 0, 14, 14]","[0.0, 0.0, 792.0, 772.0]"
t,130.0,1.0799999999999983,"[1, 1, 10, 10]","[4.0, 1.0, 698.0, 683.0]"
t,135.0,3.3000000000000007,"[0, 0, 6, 5]","[0.0, 0.0, 664.0, 646.0]"
t,140.0,-0.8300000000000001,"[0, 0, 5, 5]","[0.0, 0.0, 692.0, 671.0]"
t,145.0,-0.4400000000000013,"[0, 0, 5, 6]","[0.0, 0.0, 714.0, 695.0]"
t,150.0,-0.6099999999999994,"[0, 0, 10, 8]","[0.0, 0.0, 753.0, 730.0]"
t,155.0,-0.9499999999999993,"[0, 0, 13, 11]","[0.0, 0.0, 810.0, 782.0]"
t,160.0,-1.290000000000001,"[0, 0, 16, 16]","[0.0, 0.0, 884.0, 852.0]"
t,165.0,-1.6400000000000006,"[0, 0, 17, 17]","[0.0, 0.0, 969.0, 936.0]"
t,170.0,-1.7300000000000004,"[0, 0, 18, 18]","[0.0, 0.0, 1059.0, 1022.0]"
t,175.0,-1.7300000000000004,"[0, 0, 14, 13]","[0.0, 0.0, 926.0, 887.0]"
t,180.0,1.9700000000000024,"[0, 0, 9, 9]","[0.0, 0.0, 789.0, 747.0]"
t,185.0,2.7699999999999996,"[0, 0, 6, 6]","[0.0, 0.0, 825.0, 690.0]"
t,190.0,0.009999999999999787,"[0, 0, 5, 4]","[0.0, 0.0, 851.0, 710.0]"
t,195.0,-0.46000000000000085,"[0, 0, 7, 7]","[0.0, 0.0, 883.0, 736.0]"
t,200.0,-0.6899999999999995,"[0, 0, 9, 10]","[0.0, 0.0, 926.0, 780.0]"
t,205.0,-1.0100000000000016,"[0, 0, 13, 13]","[0.0, 0.0, 987.0, 838.0]"
t,210.0,-1.3199999999999967,"[0, 0, 16, 16]","[0.0, 0.0, 1064.0, 914.0]"
t,215.0,-1.6400000000000006,"[0, 0, 18, 18]","[0.0, 0.0, 1030.0, 882.0]"
t,220.0,2.4499999999999993,"[1, 0, 13, 13]","[4.0, 0.0, 984.0, 841.0]"
t,225.0,3.389999999999999,"[1, 0, 9, 9]","[9.0, 0.0, 801.0, 672.0]"
t,230.0,3.389999999999999,"[0, 0, 8, 7]","[0.0, 0.0, 839.0, 708.0]"
t,235.0,-0.9799999999999986,"[0, 0, 7, 5]","[0.0, 0.0, 873.0, 737.0]"
t,240.0,-0.6099999999999994,"[0, 0, 7, 6]","[0.0, 0.0, 781.0, 677.0]"
t,245.0,3.1099999999999994,"[0, 1, 6, 4]","[0.0, 3.0, 625.0, 533.0]"
t,250.0,2.889999999999999,"[1, 2, 6, 3]","[5.0, 11.0, 561.0, 467.0]"
t,255.0,2.889999999999999,"[0, 0, 5, 4]","[0.0, 0.0, 588.0, 484.0]"
t,260.0,-0.5,"[0, 0, 5, 5]","[0.0, 0.0, 611.0, 505.0]"
t,265.0,-0.4399999999999995,"[0, 0, 8, 9]","[0.0, 0.0, 646.0, 541.0]"
t,270.0,-0.7099999999999991,"[0, 0, 12, 11]","[0.0, 0.0, 699.0, 592.0]"
t,275.0,-1.040000000000001,"[0, 0, 16, 15]","[0.0, 0.0, 769.0, 661.0]"
t,280.0,-1.3900000000000006,"[0, 0, 18, 18]","[0.0, 0.0, 855.0, 743.0]"
t,285.0,-1.6799999999999997,"[0, 0, 19, 19]","[0.0, 0.0, 949.0, 835.0]"
t,290.0,-1.8599999999999994,"[0, 0, 16, 16]","[0.0, 0.0, 914.0, 809.0]"
t,295.0,2.08,"[1, 1, 11, 11]","[3.0, 1.0, 773.0, 688.0]"
t,300.0,2.51,"[1, 1, 7, 7]","[8.0, 6.0, 545.0, 484.0]"
t,305.0,3.9700000000000006,"[1, 0, 2, 3]","[1.0, 0.0, 484.0, 447.0]"
t,310.0,-0.14000000000000057,"[0, 0, 3, 2]","[0.0, 0.0, 492.0, 455.0]"
t,315.0,-0.34999999999999964,"[0, 0, 6, 5]","[0.0, 0.0, 515.0, 473.0]"
t,320.0,-0.6400000000000006,"[0, 0, 8, 8]","[0.0, 0.0, 550.0, 507.0]"
t,325.0,-0.9399999999999995,"[0, 0, 12, 11]","[0.0, 0.0, 603.0, 555.0]"
t,330.0,-1.3100000000000005,"[0, 0, 15, 15]","[0.0, 0.0, 674.0, 622.0]"
